sus_1,sus_2,sus_3,sus_4,sus_5,dis_1,dis_2,dis_3,dis_4,dis_5,dis_6,dis_7,dis_8,dis_9,dis_10,dis_11,dis_12,dis_13,dis_14,dis_15,dis_16,dis_17,dis_18,dis_19,dis_20,dis_21,dis_22,dis_23,dis_24,dis_25,dis_26,dis_27,dis_28,dis_29,dis_30,dis_31,dis_32,dis_33,dis_34,dis_35,dis_36,dis_37,dis_38,dis_39,dis_40,dis_41,dis_42,dis_43,dis_44,dis_45,dis_46,dis_47,dis_48,dis_49,dis_50,dis_51,dis_52,dis_53,dis_54,dis_55,dis_56,dis_57,dis_58,dis_59,dis_60,dis_61,dis_62,dis_63,dis_64,dis_65,dis_66,dis_67,dis_68,dis_69,dis_70,dis_71,dis_72,dis_73,dis_74,dis_75,dis_76,dis_77,dis_78,dis_79,dis_80,dis_81,dis_82,dis_83,dis_84,dis_85,sus_1-1,sus_2-1,sus_3-1,sus_4-1,sus_5-1,dis_1-1,dis_2-1,dis_3-1,dis_4-1,dis_5-1,dis_6-1,dis_7-1,dis_8-1,dis_9-1,dis_10-1,dis_11-1,dis_12-1,dis_13-1,dis_14-1,dis_15-1,dis_16-1,dis_17-1,dis_18-1,dis_19-1,dis_20-1,dis_21-1,dis_22-1,dis_23-1,dis_24-1,dis_25-1,dis_26-1,dis_27-1,dis_28-1,dis_29-1,dis_30-1,dis_31-1,dis_32-1,dis_33-1,dis_34-1,dis_35-1,dis_36-1,dis_37-1,dis_38-1,dis_39-1,dis_40-1,dis_41-1,dis_42-1,dis_43-1,dis_44-1,dis_45-1,dis_46-1,dis_47-1,dis_48-1,dis_49-1,dis_50-1,dis_51-1,dis_52-1,dis_53-1,dis_54-1,dis_55-1,dis_56-1,dis_57-1,dis_58-1,dis_59-1,dis_60-1,dis_61-1,dis_62-1,dis_63-1,dis_64-1,dis_65-1,dis_66-1,dis_67-1,dis_68-1,dis_69-1,dis_70-1,dis_71-1,dis_72-1,dis_73-1,dis_74-1,dis_75-1,dis_76-1,dis_77-1,dis_78-1,dis_79-1,dis_80-1,dis_81-1,dis_82-1,dis_83-1,dis_84-1,dis_85-1,sus_1-2,sus_2-2,sus_3-2,sus_4-2,sus_5-2,dis_1-2,dis_2-2,dis_3-2,dis_4-2,dis_5-2,dis_6-2,dis_7-2,dis_8-2,dis_9-2,dis_10-2,dis_11-2,dis_12-2,dis_13-2,dis_14-2,dis_15-2,dis_16-2,dis_17-2,dis_18-2,dis_19-2,dis_20-2,dis_21-2,dis_22-2,dis_23-2,dis_24-2,dis_25-2,dis_26-2,dis_27-2,dis_28-2,dis_29-2,dis_30-2,dis_31-2,dis_32-2,dis_33-2,dis_34-2,dis_35-2,dis_36-2,dis_37-2,dis_38-2,dis_39-2,dis_40-2,dis_41-2,dis_42-2,dis_43-2,dis_44-2,dis_45-2,dis_46-2,dis_47-2,dis_48-2,dis_49-2,dis_50-2,dis_51-2,dis_52-2,dis_53-2,dis_54-2,dis_55-2,dis_56-2,dis_57-2,dis_58-2,dis_59-2,dis_60-2,dis_61-2,dis_62-2,dis_63-2,dis_64-2,dis_65-2,dis_66-2,dis_67-2,dis_68-2,dis_69-2,dis_70-2,dis_71-2,dis_72-2,dis_73-2,dis_74-2,dis_75-2,dis_76-2,dis_77-2,dis_78-2,dis_79-2,dis_80-2,dis_81-2,dis_82-2,dis_83-2,dis_84-2,dis_85-2,sus_1-3,sus_2-3,sus_3-3,sus_4-3,sus_5-3,dis_1-3,dis_2-3,dis_3-3,dis_4-3,dis_5-3,dis_6-3,dis_7-3,dis_8-3,dis_9-3,dis_10-3,dis_11-3,dis_12-3,dis_13-3,dis_14-3,dis_15-3,dis_16-3,dis_17-3,dis_18-3,dis_19-3,dis_20-3,dis_21-3,dis_22-3,dis_23-3,dis_24-3,dis_25-3,dis_26-3,dis_27-3,dis_28-3,dis_29-3,dis_30-3,dis_31-3,dis_32-3,dis_33-3,dis_34-3,dis_35-3,dis_36-3,dis_37-3,dis_38-3,dis_39-3,dis_40-3,dis_41-3,dis_42-3,dis_43-3,dis_44-3,dis_45-3,dis_46-3,dis_47-3,dis_48-3,dis_49-3,dis_50-3,dis_51-3,dis_52-3,dis_53-3,dis_54-3,dis_55-3,dis_56-3,dis_57-3,dis_58-3,dis_59-3,dis_60-3,dis_61-3,dis_62-3,dis_63-3,dis_64-3,dis_65-3,dis_66-3,dis_67-3,dis_68-3,dis_69-3,dis_70-3,dis_71-3,dis_72-3,dis_73-3,dis_74-3,dis_75-3,dis_76-3,dis_77-3,dis_78-3,dis_79-3,dis_80-3,dis_81-3,dis_82-3,dis_83-3,dis_84-3,dis_85-3,sus_1-4,sus_2-4,sus_3-4,sus_4-4,sus_5-4,dis_1-4,dis_2-4,dis_3-4,dis_4-4,dis_5-4,dis_6-4,dis_7-4,dis_8-4,dis_9-4,dis_10-4,dis_11-4,dis_12-4,dis_13-4,dis_14-4,dis_15-4,dis_16-4,dis_17-4,dis_18-4,dis_19-4,dis_20-4,dis_21-4,dis_22-4,dis_23-4,dis_24-4,dis_25-4,dis_26-4,dis_27-4,dis_28-4,dis_29-4,dis_30-4,dis_31-4,dis_32-4,dis_33-4,dis_34-4,dis_35-4,dis_36-4,dis_37-4,dis_38-4,dis_39-4,dis_40-4,dis_41-4,dis_42-4,dis_43-4,dis_44-4,dis_45-4,dis_46-4,dis_47-4,dis_48-4,dis_49-4,dis_50-4,dis_51-4,dis_52-4,dis_53-4,dis_54-4,dis_55-4,dis_56-4,dis_57-4,dis_58-4,dis_59-4,dis_60-4,dis_61-4,dis_62-4,dis_63-4,dis_64-4,dis_65-4,dis_66-4,dis_67-4,dis_68-4,dis_69-4,dis_70-4,dis_71-4,dis_72-4,dis_73-4,dis_74-4,dis_75-4,dis_76-4,dis_77-4,dis_78-4,dis_79-4,dis_80-4,dis_81-4,dis_82-4,dis_83-4,dis_84-4,dis_85-4,label
919113403,1,11,0,1000,0,0,8,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113410,1,11,0,1000,0,0,0,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113417,1,11,0,1000,0,0,14,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113434,1,11,0,1000,0,0,27,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113443,1,11,0,1000,0,0,1,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
919113410,1,11,0,1000,0,0,0,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113417,1,11,0,1000,0,0,14,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113434,1,11,0,1000,0,0,27,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113443,1,11,0,1000,0,0,1,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113450,1,11,0,1000,0,0,5,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
919113417,1,11,0,1000,0,0,14,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113434,1,11,0,1000,0,0,27,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113443,1,11,0,1000,0,0,1,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113450,1,11,0,1000,0,0,5,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113458,1,11,0,1000,0,0,2,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
919113434,1,11,0,1000,0,0,27,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113443,1,11,0,1000,0,0,1,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113450,1,11,0,1000,0,0,5,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113458,1,11,0,1000,0,0,2,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113505,1,11,0,1000,0,0,45,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
919113443,1,11,0,1000,0,0,1,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113450,1,11,0,1000,0,0,5,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113458,1,11,0,1000,0,0,2,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113505,1,11,0,1000,0,0,45,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113512,1,11,0,1000,0,0,20,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
919113450,1,11,0,1000,0,0,5,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113458,1,11,0,1000,0,0,2,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113505,1,11,0,1000,0,0,45,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113512,1,11,0,1000,0,0,20,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113521,1,11,0,1000,0,0,29,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
919113458,1,11,0,1000,0,0,2,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113505,1,11,0,1000,0,0,45,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113512,1,11,0,1000,0,0,20,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113521,1,11,0,1000,0,0,29,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113528,1,11,0,1000,0,0,40,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
919113505,1,11,0,1000,0,0,45,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113512,1,11,0,1000,0,0,20,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113521,1,11,0,1000,0,0,29,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113528,1,11,0,1000,0,0,40,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113534,1,11,0,1000,0,0,6,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
919113512,1,11,0,1000,0,0,20,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113521,1,11,0,1000,0,0,29,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113528,1,11,0,1000,0,0,40,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113534,1,11,0,1000,0,0,6,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113541,1,11,0,1000,0,0,38,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
919113521,1,11,0,1000,0,0,29,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113528,1,11,0,1000,0,0,40,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113534,1,11,0,1000,0,0,6,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113541,1,11,0,1000,0,0,38,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113556,1,11,0,1000,0,0,19,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
919113528,1,11,0,1000,0,0,40,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113534,1,11,0,1000,0,0,6,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113541,1,11,0,1000,0,0,38,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113556,1,11,0,1000,0,0,19,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113706,1,11,0,1100,0,0,33,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
919113534,1,11,0,1000,0,0,6,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113541,1,11,0,1000,0,0,38,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113556,1,11,0,1000,0,0,19,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113706,1,11,0,1100,0,0,33,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,919113714,1,11,0,1100,0,0,17,0,0,0,1,0,2,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,8,8,1,2,0,10,0,0,2,3,0,0,4,0,0,0,0,2,2,1,1,0,1,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,2,2,1,3,1,0,0,0,4,4,1,1,1,2,0,0,0
